"","month","id","gender","symbol","count","DEG.18","DEG.24","DEG.both"
"103","3","56","F","Nlrp6",267,"None","None",FALSE
"104","3","38","F","Nlrp6",314,"None","None",FALSE
"105","3","39","F","Nlrp6",867,"None","None",FALSE
"106","18","53","M","Noxa1",258,"None","None",FALSE
"107","18","45","M","Noxa1",594,"None","None",FALSE
"108","18","46","F","Noxa1",460,"None","None",FALSE
"109","18","47","F","Noxa1",427,"None","None",FALSE
"110","24","60","M","Noxa1",165,"None","None",FALSE
"111","24","59","M","Noxa1",218,"None","None",FALSE
"112","24","58","M","Noxa1",247,"None","None",FALSE
"113","24","61","M","Noxa1",104,"None","None",FALSE
"114","3","8","M","Noxa1",216,"None","None",FALSE
"115","3","9","M","Noxa1",221,"None","None",FALSE
"116","3","10","M","Noxa1",533,"None","None",FALSE
"117","3","11","M","Noxa1",441,"None","None",FALSE
"118","3","56","F","Noxa1",232,"None","None",FALSE
"119","3","38","F","Noxa1",221,"None","None",FALSE
"120","3","39","F","Noxa1",762,"None","None",FALSE
"121","18","53","M","Ern2",135,"None","None",FALSE
"122","18","45","M","Ern2",332,"None","None",FALSE
"123","18","46","F","Ern2",260,"None","None",FALSE
"124","18","47","F","Ern2",230,"None","None",FALSE
"125","24","60","M","Ern2",81,"None","None",FALSE
"126","24","59","M","Ern2",112,"None","None",FALSE
"127","24","58","M","Ern2",62,"None","None",FALSE
"128","24","61","M","Ern2",26,"None","None",FALSE
"129","3","8","M","Ern2",127,"None","None",FALSE
"130","3","9","M","Ern2",133,"None","None",FALSE
"131","3","10","M","Ern2",328,"None","None",FALSE
"132","3","11","M","Ern2",184,"None","None",FALSE
"133","3","56","F","Ern2",74,"None","None",FALSE
"134","3","38","F","Ern2",64,"None","None",FALSE
"135","3","39","F","Ern2",254,"None","None",FALSE
"136","18","53","M","Pla2g10",82,"None","None",FALSE
"137","18","45","M","Pla2g10",243,"None","None",FALSE
"138","18","46","F","Pla2g10",138,"None","None",FALSE
"139","18","47","F","Pla2g10",199,"None","None",FALSE
"140","24","60","M","Pla2g10",63,"None","None",FALSE
"141","24","59","M","Pla2g10",30,"None","None",FALSE
"142","24","58","M","Pla2g10",80,"None","None",FALSE
"143","24","61","M","Pla2g10",28,"None","None",FALSE
"144","3","8","M","Pla2g10",62,"None","None",FALSE
"145","3","9","M","Pla2g10",107,"None","None",FALSE
"146","3","10","M","Pla2g10",181,"None","None",FALSE
"147","3","11","M","Pla2g10",138,"None","None",FALSE
"148","3","56","F","Pla2g10",63,"None","None",FALSE
"149","3","38","F","Pla2g10",59,"None","None",FALSE
"150","3","39","F","Pla2g10",255,"None","None",FALSE
"151","18","53","M","Hsd3b3",128,"None","None",FALSE
"152","18","45","M","Hsd3b3",316,"None","None",FALSE
"153","18","46","F","Hsd3b3",189,"None","None",FALSE
"154","18","47","F","Hsd3b3",204,"None","None",FALSE
"155","24","60","M","Hsd3b3",71,"None","None",FALSE
"156","24","59","M","Hsd3b3",47,"None","None",FALSE
"157","24","58","M","Hsd3b3",148,"None","None",FALSE
"158","24","61","M","Hsd3b3",57,"None","None",FALSE
"159","3","8","M","Hsd3b3",130,"None","None",FALSE
"160","3","9","M","Hsd3b3",168,"None","None",FALSE
"161","3","10","M","Hsd3b3",306,"None","None",FALSE
"162","3","11","M","Hsd3b3",247,"None","None",FALSE
"163","3","56","F","Hsd3b3",117,"None","None",FALSE
"164","3","38","F","Hsd3b3",122,"None","None",FALSE
"165","3","39","F","Hsd3b3",332,"None","None",FALSE
"166","18","53","M","Krt20",8,NA,"None",FALSE
"167","18","45","M","Krt20",28,NA,"None",FALSE
"168","18","46","F","Krt20",9,NA,"None",FALSE
"169","18","47","F","Krt20",28,NA,"None",FALSE
"170","24","60","M","Krt20",5,NA,"None",FALSE
"171","24","59","M","Krt20",0,NA,"None",FALSE
"172","24","58","M","Krt20",6,NA,"None",FALSE
"173","24","61","M","Krt20",0,NA,"None",FALSE
"174","3","8","M","Krt20",33,NA,"None",FALSE
"175","3","9","M","Krt20",25,NA,"None",FALSE
"176","3","10","M","Krt20",29,NA,"None",FALSE
"177","3","11","M","Krt20",15,NA,"None",FALSE
"178","3","56","F","Krt20",12,NA,"None",FALSE
"179","3","38","F","Krt20",8,NA,"None",FALSE
"180","3","39","F","Krt20",44,NA,"None",FALSE
"181","18","53","M","X1810065E05Rik",52,"None","None",FALSE
"182","18","45","M","X1810065E05Rik",144,"None","None",FALSE
"183","18","46","F","X1810065E05Rik",97,"None","None",FALSE
"184","18","47","F","X1810065E05Rik",115,"None","None",FALSE
"185","24","60","M","X1810065E05Rik",30,"None","None",FALSE
"186","24","59","M","X1810065E05Rik",12,"None","None",FALSE
"187","24","58","M","X1810065E05Rik",81,"None","None",FALSE
"188","24","61","M","X1810065E05Rik",23,"None","None",FALSE
"189","3","8","M","X1810065E05Rik",86,"None","None",FALSE
"190","3","9","M","X1810065E05Rik",63,"None","None",FALSE
"191","3","10","M","X1810065E05Rik",91,"None","None",FALSE
"192","3","11","M","X1810065E05Rik",106,"None","None",FALSE
"193","3","56","F","X1810065E05Rik",27,"None","None",FALSE
