"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"Cldn15","Cldn15",462.4092281,364.4669398,643.1379762,374.7353823,392.25562493,646.6385328,975.3516153,295.6771057,198.8614864,167.9031292,223.6202305,177.7898373,984.9514041,1137.4622476,428.7228155
"Slc17a4","Slc17a4",208.8228377,130.7773168,151.1630633,153.6573387,81.5868586,155.4039401,287.0333511,113.9857767,69.4090598,46.1354621,140.9946735,59.9949975,486.8594187,285.1408981,241.4561867
"Ppp1r14d","Ppp1r14d",367.9950659,251.0027483,485.6046562,308.4546425,271.49263283,399.6226682,578.2918669,210.0995807,139.4533092,107.244,150.3462365,137.2487557,635.8259463,509.4290549,350.7392102
"Nr1h4","Nr1h4",202.0388813,163.9158796,288.8427774,195.2724502,177.6912275,280.2568584,388.5845681,65.9145712,98.9475596,125.887923,140.5874652,66.2514661,466.2323035,523.8565286,300.8993367
"Atp2c2","Atp2c2",677.5587003,421.0417818,736.7301459,479.8125914,534.0614337,814.3118728,1294.7972376,407.6652283,240.7668707,244.8284461,387.5816809,152.8315274,1355.080444,1339.7604122,517.8446973
"St6galnac6","St6galnac6",582.4622378,414.4858585,647.3626014,453.3438374,403.6465737,677.8454171,1092.4274826,306.4443293,213.2773092,153.4144437,289.0890345,147.1237008,1097.4955896,1295.2218862,467.6493976
"Tmc5","Tmc5",286.2443923,289.7429107,400.8539585,300.9941615,244.6506042,326.609784,431.4263159,206.0409924,181.9135024,117.0646857,221.1965959,134.2931056,549.5153416,563.6264679,355.1950321
"Noxo1","Noxo1",471.8380959,300.5719145,526.6097477,310.0674251,308.34144778,476.57252,911.9373931,242.7693198,143.3985669,139.4041474,210.9072803,108.8950448,938.0214884,885.7241623,385.9717776
"Baiap2l2","Baiap2l2",356.1587948,252.452055,300.8135037,352.5601045,195.6605209,539.3152958,760.9867203,299.467808,130.1296234,135.6820452,213.5189422,141.9179383,721.4962634,576.8794123,311.7172374
"Gucy2c","Gucy2c",241.080118,258.6541774,383.8810108,328.1624613,275.0095825,322.4405487,579.8613154,187.3340191,161.5335744,122.7772372,171.5473723,169.4941406,564.9556539,593.2342042,382.5127385
"Marveld3","Marveld3",360.5297888,210.6017609,395.6041638,274.4587004,172.52129074,374.4438177,639.2239427,179.8411524,106.464557,125.6065202,179.621178,70.3617408,682.7361627,666.306218,340.6530794
"Myo1a","Myo1a",463.7433459,237.3614663,370.139233,390.8363625,273.3379585,587.3125809,777.569397,281.4611839,226.4063534,181.7687288,321.4796858,145.209868,923.0789324,745.5831099,364.6814048
"Mettl7b","Mettl7b",348.9398742,258.2343482,315.6521843,261.0689311,333.47757489,356.6240485,550.0873037,233.4983971,105.0892753,73.1744632,160.0032835,69.0936404,443.8728825,365.2840632,282.22602055
"BC016579","BC016579",339.0764101,204.4875061,432.0130531,332.1623467,116.9773103,369.4849382,649.1254602,164.5635748,171.4634097,142.350605,272.3392184,120.1756733,850.9935895,861.1141577,409.6068381
"Dnajc22","Dnajc22",336.75782936,188.2523392,376.6718708,252.8258053,101.78128288,281.25925,564.6580762,130.1871964,75.0778051,72.2151313,111.0409052,56.7163525,560.3287103,611.2890533,318.446604
"Glod5","Glod5",277.1414825,139.3669659,236.1333468,141.6358172,220.4117307,204.6513008,419.878566,109.4959011,57.327861,65.9326482,91.786469,32.6158599,526.8571205,292.1608992,109.5419333
"Adck5","Adck5",178.3495912,115.4608324,196.0029975,194.69826,134.77330086,203.41443,319.4739964,116.054104,62.0481634,62.3992496,104.0641865,41.9481302,475.5967888,322.1723482,166.7828766
"Mep1a","Mep1a",30.85267,23.1625473,0,17.9089253,12.03671683,14.619433,47.9266345,17.5135825,10.8803709,8.9015519,32.5158962,5.2384608,36.5463729,14.2223442,46.6474383
"Car9","Car9",251.7913859,173.3837302,281.9960191,156.3201899,138.427402,222.7794474,440.0644998,100.867538,93.6790512,83.052211,80.8149537,54.241055,455.491419,454.207508,218.4684238
"Cblc","Cblc",425.87472356,223.8435447,490.0771046,280.5052981,269.4309892,495.5984304,845.4611856,257.9748925,163.7748554,133.7905345,224.8549536,78.4413529,874.1546171,748.5604065,373.7402279
"Styk1","Styk1",345.3857941,223.5590598,310.6054435,350.7155942,164.2058671,433.6778477,574.905747,234.6399732,127.9356157,134.5343536,221.1053766,96.287715,829.3919962,715.7970603,373.1367251
"Myo5b","Myo5b",291.9362298,166.9051281,241.10457997,289.6458738,151.2144265,261.5111559,444.60759336,167.0487942,151.9206739,129.5371839,219.026922,85.6821844,559.6157415,521.0735517,283.5788905
"Ifi27l2b","Ifi27l2b",507.8010313,266.5476563,564.1608733,307.1579542,370.3255235,594.1315831,896.06731677,230.612965,143.5036395,107.5105997,270.5844398,79.5689758,995.348375,845.8767645,350.0879638
"Hao2","Hao2",61.127189,21.5717607,13.3717023,25.570183,13.90274815,5.1520767,77.4735915,19.795662,2.7150948,17.0952535,17.6667079,13.9374973,143.2270045,49.6963475,30.9511693
"X9130206I24Rik","X9130206I24Rik",154.0606182,200.4318819,276.5414638,164.5141084,158.8785875,162.459827,373.0080024,113.7650436,73.7251014,78.9320642,100.5300438,52.2972903,434.3921283,374.2522432,254.0423109
"Prss30","Prss30",21.5218344,11.8600579,12.4342308,30.24323,13.4445478,22.3785669,7.481215,7.0363617,10.0523965,16.8215277,12.5729852,4.9506173,34.2947732,9.5663616,30.8124618
"Cideb","Cideb",314.7154225,132.9126927,297.0394198,155.8373186,185.00862247,328.7278785,495.1868236,181.0769814,61.3552104,59.6941705,87.0169418,44.4292421,447.3524602,301.4324197,220.8359369
"Sycn","Sycn",607.9039108,348.495517,771.5063453,426.5426163,524.1946949,732.3180748,1156.7682556,365.3394502,228.14401045,206.0567867,333.3596972,143.7699258,1118.4276226,1138.9801156,385.4105493
"X2010001M06Rik","X2010001M06Rik",381.5952256,221.1739719,380.6225509,255.3719181,303.9956928,442.6371119,699.1556229,213.992915,152.9769606,161.2052015,224.3644925,69.4635549,757.3527473,495.9185739,280.3580974
"Slc39a4","Slc39a4",405.9801625,266.5739376,361.75229675,281.1849937,251.85375633,452.3005249,585.5538034,244.4700407,167.1750871,112.56149,206.6777764,67.1474843,593.2804055,566.367145,320.4961759
"Satb2","Satb2",377.9699491,213.6860217,334.2052885,283.9529165,152.19446,388.5360343,455.2550297,200.8346223,117.6203732,138.9288708,219.7151357,79.9439017,649.8704343,759.277062,363.1446223
"Fut2","Fut2",502.9081979,402.4959247,531.691312,464.6543464,406.93022968,668.1164488,859.09003274,297.7874386,179.8125743,169.5128083,251.6410301,136.1408806,819.1518317,1045.6274326,467.8092811
"Tmem54","Tmem54",364.3872798,220.1964664,342.6633092,234.833133,333.0766328,354.6891178,634.4612095,171.5311573,129.1959094,82.432806,185.4290782,111.37778,577.9448999,425.1574537,348.1956774
