"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","topGenes"
"868","GOBP_GAMMA_DELTA_T_CELL_ACTIVATION","0.737811484290357","1","0.0312771255290148","-0.385374167878396","-0.839888208606418","17","c(""Ccr9"", ""Egr3"", ""Jag2"", ""Nod2"", ""Syk"")","Ccr9,Egr3,Jag2,Nod2,Syk"
"869","GOBP_GANGLION_DEVELOPMENT","0.0255735220192024","0.285143283999266","0.352487857583619","-0.659746795053683","-1.4378585800964","17","c(""Unc5c"", ""Sema3a"", ""Six4"", ""Phox2b"", ""Rgs4"", ""Six1"", ""Pou4f2"", ""Cyp1b1"")","Unc5c,Sema3a,Six4,Phox2b,Rgs4,Six1,Pou4f2,Cyp1b1"
"870","GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS","0.787581699346405","1","0.0282923737721473","-0.370858849824514","-0.798219444868283","16","c(""St8sia2"", ""St8sia3"")","St8sia2,St8sia3"
"871","GOBP_GANGLIOSIDE_METABOLIC_PROCESS","0.774841437632135","1","0.0275885895800029","-0.3568249063317","-0.821306418566946","26","c(""St8sia2"", ""St8sia3"", ""Itgb8"")","St8sia2,St8sia3,Itgb8"
"872","GOBP_GAP_JUNCTION_ASSEMBLY","0.789815817984832","1","0.0278699114874201","-0.362528828311562","-0.790098853420972","17","c(""Cntnap2"", ""Ace2"", ""Gjc1"", ""Tbx5"", ""Gja1"", ""Gja5"", ""Irx3"")","Cntnap2,Ace2,Gjc1,Tbx5,Gja1,Gja5,Irx3"
"873","GOBP_GASTRIC_ACID_SECRETION","0.166309012875536","0.753714216692837","0.106729884364606","-0.562072916080835","-1.23938993925593","18","c(""Slc26a7"", ""Oprl1"", ""Chrm5"", ""Oxt"", ""Ucn"", ""Oxtr"", ""Cckbr"")","Slc26a7,Oprl1,Chrm5,Oxt,Ucn,Oxtr,Cckbr"
"874","GOBP_GASTRULATION","0.998001998001998","1","0.00204130030921835","-0.2607856697693","-0.664811926339548","174","c(""Pax2"", ""Cfc1"", ""Col11a1"", ""Eya1"", ""Lhx1"", ""Cer1"", ""Col5a2"", ""Wnt3a"", ""Otx2"", ""Tbx20"", ""Dkk1"", ""Crb2"", ""Tbx19"", ""Itgb3"", ""Nanog"", ""T"", ""Col12a1"", ""Itga4"", ""Fgf8"", ""Sox7"", ""Six2"", ""Nodal"", ""Col7a1"", ""Wnt8b"", ""Hand1"", ""Gja1"", ""Epha2"", ""Wnt3"", ""Sox2"", ""Col4a2"", ""Lama3"", ""Pou5f1"", ""Bmpr2"", ""Lbx2"", ""Il10"", ""Ext1"", ""Inhba"", ""Itga8"", ""Acvr2a"", ""Col8a1"", ""Foxc2"", ""Nog"", ""Itga5"", ""Itgb5"", ""Itgav"", ""Mixl1"", ""Osr1"", ""Dusp4"", ""Fzd7"", ""Sox17"", ""Hoxa11"", ""Mmp2"", ""Kif16b"", ""Twsg1"", ""Trim15"")","Pax2,Cfc1,Col11a1,Eya1,Lhx1,Cer1,Col5a2,Wnt3a,Otx2,Tbx20,Dkk1,Crb2,Tbx19,Itgb3,Nanog,T,Col12a1,Itga4,Fgf8,Sox7,Six2,Nodal,Col7a1,Wnt8b,Hand1,Gja1,Epha2,Wnt3,Sox2,Col4a2,Lama3,Pou5f1,Bmpr2,Lbx2,Il10,Ext1,Inhba,Itga8,Acvr2a,Col8a1,Foxc2,Nog,Itga5,Itgb5,Itgav,Mixl1,Osr1,Dusp4,Fzd7,Sox17,Hoxa11,Mmp2,Kif16b,Twsg1,Trim15"
"875","GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND","0.79047619047619","1","0.0266052822097738","-0.352259328740782","-0.805834135285716","24","c(""Lhx1"", ""Otx2"", ""Crb2"", ""T"", ""Nodal"")","Lhx1,Otx2,Crb2,T,Nodal"
"876","GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY","NA","NA","NA","0.180304337320228","NA","427","c(""Akr1c6"", ""Cox6a2"", ""Haao"", ""Pdx1"", ""Cyp1a2"", ""Ncf1"", ""Adh7"", ""P2rx7"", ""Cbfa2t3"", ""Sco2"", ""Khk"", ""Gnmt"", ""Mc4r"", ""Sdhc"", ""Nupr1"", ""Cybb"", ""Fbp1"", ""Glrx2"", ""Arl2"", ""Fxn"", ""G6pc"", ""Gcgr"", ""Gapdhs"", ""Slc27a5"", ""Trpv4"", ""Galk1"", ""Immp2l"", ""Fdx1"", ""Eno2"", ""Cyba"", ""Ddit4"", ""Phb2"", ""Pygl"", ""Hmgcl"", ""Idh2"", ""Ndufs3"", ""Ndufa8"", ""Pdia5"", ""Loxl2"", ""Qdpr"", ""Ndufaf1"", ""Adh5"", ""Ndufa9"", ""Prkag1"", ""Gpd1"", ""Ppif"", ""Cox7a2l"", ""Idh3g"", ""Mdh2"", ""Phgdh"", ""Prelid1"", ""Park7"", ""Surf1"", ""Eif6"", ""Sod2"", ""Etfa"", ""Iscu"", 
""Mdh1"", ""Cox10"", ""Dnajc15"", ""Sdhd"", ""Ndufc2"", ""Aifm2"", ""Etfb"", ""Aldoc"", ""Ndufs4"", ""Atp5c1"", ""Suclg1"", ""Pgd"", ""Ppp1ca"", ""Coq10a"", ""Ppp1r2"", ""Ndufb5"", ""Ndufb6"", ""Cox5a"", ""Sirt3"", ""Akr7a5"", ""Dguok"", ""Ndufab1"", ""Adh1"", ""Pgk1"", ""Pgls"", ""Mt3"", ""Chchd10"", ""Ndufs2"", ""Cyc1"", ""Sdhaf2"", ""Ndufa12"", ""Idh3b"", ""Mrps36"", ""Cisd1"", ""Ndufv2"", ""Uqcrfs1"", ""Atp5l"", ""Uqcrc1"", ""Oxa1l"", ""Trp53"", ""Ndufs7"", ""Coq9"", ""Uqcrc2"", ""Ciapin1"", ""Degs1"", ""H6pd"", ""Aldoa"", ""Dnajc30"", ""Ndufa10"", ""Slc25a23"", ""Taldo1"", ""Ndufb9"", ""Ndufs8"", 
""Ncf2"", ""Ndufb8"", ""Gapdh"", ""Adh4"", ""Stoml2"", ""Atp5o"", ""Ndufb7"", ""Atp5a1"", ""Ldha"", ""Aldh2"", ""Bnip3"", ""Ndufv1"", ""Bid"", ""Gyg"", ""Shmt2"", ""Sdhb"", ""Prlh"", ""Gpx2"", ""Acat1"", ""Tkt"", ""Atp5d"", ""Bloc1s1"", ""Ppp1cc"", ""Chchd2"", ""Slc25a12"", ""Cox8a"", ""Ndufb10"", ""Tpi1"", ""Cox4i1"", ""Cycs"", ""Uqcrh"", ""Fh1"")","Akr1c6,Cox6a2,Haao,Pdx1,Cyp1a2,Ncf1,Adh7,P2rx7,Cbfa2t3,Sco2,Khk,Gnmt,Mc4r,Sdhc,Nupr1,Cybb,Fbp1,Glrx2,Arl2,Fxn,G6pc,Gcgr,Gapdhs,Slc27a5,Trpv4,Galk1,Immp2l,Fdx1,Eno2,Cyba,Ddit4,Phb2,Pygl,Hmgcl,Idh2,Ndufs3,Ndufa8,Pdia5,Loxl2,Qdpr,Ndufaf1,Adh5,Ndufa9,Prkag1,Gpd1,Ppif,Cox7a2l,Idh3g,Mdh2,Phgdh,Prelid1,Park7,Surf1,Eif6,Sod2,Etfa,Iscu,Mdh1,Cox10,Dnajc15,Sdhd,Ndufc2,Aifm2,Etfb,Aldoc,Ndufs4,Atp5c1,Suclg1,Pgd,Ppp1ca,Coq10a,Ppp1r2,Ndufb5,Ndufb6,Cox5a,Sirt3,Akr7a5,Dguok,Ndufab1,Adh1,Pgk1,Pgls,Mt3,Chchd10,Ndufs2,Cyc1,Sdhaf2,Ndufa12,Idh3b,Mrps36,Cisd1,Ndufv2,Uqcrfs1,Atp5l,Uqcrc1,Oxa1l,Trp53,Ndufs7,Coq9,Uqcrc2,Ciapin1,Degs1,H6pd,Aldoa,Dnajc30,Ndufa10,Slc25a23,Taldo1,Ndufb9,Ndufs8,Ncf2,Ndufb8,Gapdh,Adh4,Stoml2,Atp5o,Ndufb7,Atp5a1,Ldha,Aldh2,Bnip3,Ndufv1,Bid,Gyg,Shmt2,Sdhb,Prlh,Gpx2,Acat1,Tkt,Atp5d,Bloc1s1,Ppp1cc,Chchd2,Slc25a12,Cox8a,Ndufb10,Tpi1,Cox4i1,Cycs,Uqcrh,Fh1"
"877","GOBP_GENE_SILENCING_BY_RNA","0.974974974974975","1","0.00759591053352814","-0.288040354639832","-0.72538096134276","99","c(""Lin28a"", ""Myocd"", ""Piwil1"", ""Fkbp6"", ""Mov10l1"", ""Tex15"", ""Ddx4"", ""Il6"", ""Trim71"", ""Tdrd9"", ""Tdrd1"")","Lin28a,Myocd,Piwil1,Fkbp6,Mov10l1,Tex15,Ddx4,Il6,Trim71,Tdrd9,Tdrd1"
