"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","topGenes"
"11","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION","0.957042957042957","1","0.00966564348468499","-0.247236240147241","-0.709620797304069","104","c(""Thsd7b"", ""Trpm2"", ""S1pr2"", ""Sema3e"", ""Nphs2"", ""Cldn19"", ""Ptk7"", ""Fgf10"", ""Cass4"", ""Rapgef3"", ""Insrr"", ""Tek"", ""Nrk"", ""Pdgfra"", ""Ntrk3"", ""Phactr1"", ""Csf1r"", ""Tjp1"", ""Ptk2b"", ""Hck"", ""Abl2"", ""Hmcn1"", ""Cdc42bpa"", ""Fgf7"", ""Asb2"", ""S1pr1"", ""Gsn"", ""Mkln1"", ""Tnik"", ""Myh9"", ""Sipa1l1"", ""Eps8"", ""Nedd9"", ""Anxa1"", ""Brsk2"", ""Bcas3"", ""Kit"", ""Baiap2l1"", ""Cdc42bpb"", ""Cdc42bpg"", ""Arap1"", ""Baiap2"", ""Fes"", ""Iqgap2"", ""Cxadr"", ""Auts2"", ""Ezr"", ""Rictor"", ""Cd2ap"", ""Cttn"", ""Plec"")","Thsd7b,Trpm2,S1pr2,Sema3e,Nphs2,Cldn19,Ptk7,Fgf10,Cass4,Rapgef3,Insrr,Tek,Nrk,Pdgfra,Ntrk3,Phactr1,Csf1r,Tjp1,Ptk2b,Hck,Abl2,Hmcn1,Cdc42bpa,Fgf7,Asb2,S1pr1,Gsn,Mkln1,Tnik,Myh9,Sipa1l1,Eps8,Nedd9,Anxa1,Brsk2,Bcas3,Kit,Baiap2l1,Cdc42bpb,Cdc42bpg,Arap1,Baiap2,Fes,Iqgap2,Cxadr,Auts2,Ezr,Rictor,Cd2ap,Cttn,Plec"
"12","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT","0.024975024975025","0.203277734923305","0.287857117255149","-0.433382521254845","-1.25107065865338","125","c(""Ryr2"", ""Myh3"", ""Gja1"", ""Scn5a"", ""Myh4"", ""Cacna1c"", ""Myh2"", ""Ctnna3"", ""Myh8"", ""Myh7"", ""Gata4"", ""Ank2"", ""Myo15"", ""Acta2"", ""Scn1a"", ""Rnf207"", ""Kcnh2"", ""Cacnb2"", ""Myo1h"", ""Kcne2"", ""Limch1"", ""Mybpc3"", ""Kcnj8"", ""Atp1a2"", ""Kcne1"", ""Kcnj5"", ""Sgcd"", ""Cacna2d1"", ""Pde4b"", ""Sun2"", ""Myo5a"", ""Myo1f"", ""Myh6"", ""Kcnn2"", ""Hcn4"", ""Myh10"", ""Cacna1g"", ""Mylk2"", ""Scn4b"", ""Kcnj3"", ""Scn3b"", ""Frmd6"", ""Kcnj2"")","Ryr2,Myh3,Gja1,Scn5a,Myh4,Cacna1c,Myh2,Ctnna3,Myh8,Myh7,Gata4,Ank2,Myo15,Acta2,Scn1a,Rnf207,Kcnh2,Cacnb2,Myo1h,Kcne2,Limch1,Mybpc3,Kcnj8,Atp1a2,Kcne1,Kcnj5,Sgcd,Cacna2d1,Pde4b,Sun2,Myo5a,Myo1f,Myh6,Kcnn2,Hcn4,Myh10,Cacna1g,Mylk2,Scn4b,Kcnj3,Scn3b,Frmd6,Kcnj2"
"13","GOBP_ACTIN_FILAMENT_BASED_TRANSPORT","0.403620873269436","1","0.0584693210386381","-0.420413674305202","-1.05075473347268","21","c(""Myo15"", ""Myo1h"", ""Sun2"", ""Myo5a"", ""Myo1f"", ""Myo1e"", ""Myo5c"", ""Fnbp1l"", ""Syne2"", ""Myo7b"", ""Myo19"")","Myo15,Myo1h,Sun2,Myo5a,Myo1f,Myo1e,Myo5c,Fnbp1l,Syne2,Myo7b,Myo19"
"14","GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION","0.928071928071928","1","0.0127010968624207","-0.278400642242539","-0.810179380573371","151","c(""Shank1"", ""Tacr1"", ""Rhpn1"", ""Espnl"", ""Asap3"", ""Limch1"", ""Add2"", ""Ttc8"", ""Limk1"", ""Arhgap28"", ""Fam107a"", ""Eln"", ""Ppm1e"", ""Fmn2"", ""Ccdc88a"", ""Spire1"", ""Dlc1"", ""Phldb2"", ""Rapgef3"", ""Ptger4"", ""Shroom1"", ""Fscn3"", ""Dpysl3"", ""Srf"", ""Met"", ""Phactr1"", ""Tjp1"", ""Aif1l"", ""Synpo"", ""Sorbs1"", ""Ptk2b"", ""Shroom2"", ""Tmeff2"", ""Arhgef5"", ""Itgb5"", ""Synpo2"", ""Tgfb3"", ""Epha1"", ""Shank3"", ""Rhpn2"", ""Smad3"", ""Rdx"", ""Fermt2"", ""S1pr1"", ""Rock2"", ""Arhgap6"", ""Arhgef18"", ""Fhdc1"", ""Eps8"", ""Ppfia1"", ""Wnt4"", ""Nedd9"", ""Frmd7"", ""Fhod1"", 
""Clasp2"", ""Pls3"", ""Src"", ""Baiap2l1"", ""Pfn2"", ""Lcp1"", ""Pxn"", ""Arap1"", ""Tsc1"", ""Baiap2"", ""Evl"", ""Clasp1"", ""Cul3"", ""Lima1"", ""Ezr"", ""Pik3r1"", ""Rhod"")","Shank1,Tacr1,Rhpn1,Espnl,Asap3,Limch1,Add2,Ttc8,Limk1,Arhgap28,Fam107a,Eln,Ppm1e,Fmn2,Ccdc88a,Spire1,Dlc1,Phldb2,Rapgef3,Ptger4,Shroom1,Fscn3,Dpysl3,Srf,Met,Phactr1,Tjp1,Aif1l,Synpo,Sorbs1,Ptk2b,Shroom2,Tmeff2,Arhgef5,Itgb5,Synpo2,Tgfb3,Epha1,Shank3,Rhpn2,Smad3,Rdx,Fermt2,S1pr1,Rock2,Arhgap6,Arhgef18,Fhdc1,Eps8,Ppfia1,Wnt4,Nedd9,Frmd7,Fhod1,Clasp2,Pls3,Src,Baiap2l1,Pfn2,Lcp1,Pxn,Arap1,Tsc1,Baiap2,Evl,Clasp1,Cul3,Lima1,Ezr,Pik3r1,Rhod"
"15","GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION","0.751263902932255","1","0.0268860833830403","-0.311192747293273","-0.851049458181341","46","c(""Avil"", ""Tmod4"", ""Lmod3"", ""Tmod2"", ""Capza3"", ""Add2"", ""Tmod1"", ""Lmod1"", ""Vill"")","Avil,Tmod4,Lmod3,Tmod2,Capza3,Add2,Tmod1,Lmod1,Vill"
"16","GOBP_ACTIN_FILAMENT_ORGANIZATION","0.989010989010989","1","0.00480899561354898","-0.264496598823578","-0.795038305808559","395","c(""Avil"", ""Shank1"", ""Ctnna3"", ""Tmod4"", ""Neb"", ""Tacr1"", ""Rhpn1"", ""Espnl"", ""Myo15"", ""Arhgap40"", ""Ghsr"", ""Nphs1"", ""Asap3"", ""Kank4"", ""Wasf3"", ""Myo1h"", ""Wasf1"", ""Ttn"", ""Lmod3"", ""Daam2"", ""Limch1"", ""Tmod2"", ""Fhod3"", ""Capza3"", ""Pstpip1"", ""Ctnna2"", ""Add2"", ""Ttc8"", ""Samd14"", ""Limk1"", ""Pfn4"", ""Arhgap28"", ""Kirrel"", ""Fam107a"", ""Eln"", ""Ppm1e"", ""Fmn2"", ""Ccdc88a"", ""Spire1"", ""Shroom4"", ""Dlc1"", ""Phldb2"", ""Cass4"", ""Ccl26"", ""Rapgef3"", ""Ermn"", ""Alox15"", ""Nck2"", ""Hip1"", ""Ptger4"", ""Enah"", ""Shroom1"", ""Nlrp5"", ""Cxcl12"", 
""Rgs4"", ""Tmod1"", ""Nebl"", ""Myo5a"", ""Myo1f"", ""Lmod1"", ""Fscn3"", ""Xirp2"", ""Dpysl3"", ""Tpm2"", ""Cdc42ep3"", ""Vill"", ""Pak3"", ""Rnd1"", ""Srf"", ""Elmo1"", ""Met"", ""Phactr1"", ""Coro6"", ""Tjp1"", ""Ghrl"", ""Gas2l2"", ""Aif1l"", ""Rhobtb1"", ""Fchsd2"", ""Synpo"", ""Gas2l3"", ""Ccr7"", ""Sh3kbp1"", ""Sorbs1"", ""Ptk2b"", ""Rnd3"", ""Jak2"", ""Shroom2"", ""Tnnt2"", ""Hck"", ""Tmeff2"", ""Arhgef5"", ""Fmn1"", ""Arhgap12"", ""Fchsd1"", ""Arhgef2"", ""Hmcn1"", ""Kank3"", ""Itgb5"", ""Pstpip2"", ""Myo1e"", ""Mical2"", ""Synpo2"", ""Tgfb3"", ""Rhoh"", ""Myo5c"", ""Ooep"", ""Prox1"", ""Tmsb15a"", 
""Slit2"", ""Epha1"", ""Pof1b"", ""Shank3"", ""Rhpn2"", ""Dbn1"", ""Smad3"", ""Rdx"", ""Cyfip2"", ""F2rl1"", ""Fermt2"", ""Pacsin1"", ""S1pr1"", ""Gsn"", ""Plekhg2"", ""Arhgap17"", ""Svil"", ""Rock2"", ""Arhgap6"", ""Rhof"", ""Prkcd"", ""Arhgef18"", ""Ssh2"", ""Fhdc1"", ""Eps8"", ""Myo7b"", ""Ppfia1"", ""Wnt4"", ""Nedd9"", ""Frmd7"", ""Fhod1"", ""Dlg1"", ""Cdc42ep4"", ""Lats1"", ""Cobl"", ""Clasp2"", ""Myo19"", ""Pls3"", ""Rhob"", ""Fat1"", ""Nckap1"", ""Gm14137"", ""Src"", ""Rufy3"", ""Baiap2l1"", ""Cyfip1"", ""Mical3"", ""Pik3ca"", ""Abi2"", ""Flii"", ""Pfn2"", ""Lcp1"", ""Pxn"", ""Arap1"", ""Arfgef1"", 
""Tsc1"")","Avil,Shank1,Ctnna3,Tmod4,Neb,Tacr1,Rhpn1,Espnl,Myo15,Arhgap40,Ghsr,Nphs1,Asap3,Kank4,Wasf3,Myo1h,Wasf1,Ttn,Lmod3,Daam2,Limch1,Tmod2,Fhod3,Capza3,Pstpip1,Ctnna2,Add2,Ttc8,Samd14,Limk1,Pfn4,Arhgap28,Kirrel,Fam107a,Eln,Ppm1e,Fmn2,Ccdc88a,Spire1,Shroom4,Dlc1,Phldb2,Cass4,Ccl26,Rapgef3,Ermn,Alox15,Nck2,Hip1,Ptger4,Enah,Shroom1,Nlrp5,Cxcl12,Rgs4,Tmod1,Nebl,Myo5a,Myo1f,Lmod1,Fscn3,Xirp2,Dpysl3,Tpm2,Cdc42ep3,Vill,Pak3,Rnd1,Srf,Elmo1,Met,Phactr1,Coro6,Tjp1,Ghrl,Gas2l2,Aif1l,Rhobtb1,Fchsd2,Synpo,Gas2l3,Ccr7,Sh3kbp1,Sorbs1,Ptk2b,Rnd3,Jak2,Shroom2,Tnnt2,Hck,Tmeff2,Arhgef5,Fmn1,Arhgap12,Fchsd1,Arhgef2,Hmcn1,Kank3,Itgb5,Pstpip2,Myo1e,Mical2,Synpo2,Tgfb3,Rhoh,Myo5c,Ooep,Prox1,Tmsb15a,Slit2,Epha1,Pof1b,Shank3,Rhpn2,Dbn1,Smad3,Rdx,Cyfip2,F2rl1,Fermt2,Pacsin1,S1pr1,Gsn,Plekhg2,Arhgap17,Svil,Rock2,Arhgap6,Rhof,Prkcd,Arhgef18,Ssh2,Fhdc1,Eps8,Myo7b,Ppfia1,Wnt4,Nedd9,Frmd7,Fhod1,Dlg1,Cdc42ep4,Lats1,Cobl,Clasp2,Myo19,Pls3,Rhob,Fat1,Nckap1,Gm14137,Src,Rufy3,Baiap2l1,Cyfip1,Mical3,Pik3ca,Abi2,Flii,Pfn2,Lcp1,Pxn,Arap1,Arfgef1,Tsc1"
"17","GOBP_ACTIN_FILAMENT_POLYMERIZATION","0.97002997002997","1","0.00801915843678622","-0.256936958450828","-0.745504151768666","140","c(""Avil"", ""Tmod4"", ""Arhgap40"", ""Nphs1"", ""Kank4"", ""Wasf3"", ""Wasf1"", ""Lmod3"", ""Daam2"", ""Tmod2"", ""Fhod3"", ""Capza3"", ""Pstpip1"", ""Add2"", ""Pfn4"", ""Arhgap28"", ""Kirrel"", ""Fam107a"", ""Eln"", ""Spire1"", ""Ccl26"", ""Alox15"", ""Nck2"", ""Tmod1"", ""Lmod1"", ""Cdc42ep3"", ""Vill"", ""Pak3"")","Avil,Tmod4,Arhgap40,Nphs1,Kank4,Wasf3,Wasf1,Lmod3,Daam2,Tmod2,Fhod3,Capza3,Pstpip1,Add2,Pfn4,Arhgap28,Kirrel,Fam107a,Eln,Spire1,Ccl26,Alox15,Nck2,Tmod1,Lmod1,Cdc42ep3,Vill,Pak3"
"18","GOBP_ACTIN_FILAMENT_SEVERING","0.709289617486339","1","0.0336033244336697","-0.354382292007648","-0.845998208307604","16","c(""Avil"", ""Vill"", ""Fmnl1"", ""Srgap2"", ""Gsn"", ""Svil"", ""Myh9"", ""Flii"", ""Scin"")","Avil,Vill,Fmnl1,Srgap2,Gsn,Svil,Myh9,Flii,Scin"
"19","GOBP_ACTIN_MEDIATED_CELL_CONTRACTION","0.00261359893618631","0.041715634084307","0.431707695803346","-0.488979894530655","-1.39834001819659","95","c(""Ryr2"", ""Myh3"", ""Gja1"", ""Scn5a"", ""Myh4"", ""Cacna1c"", ""Myh2"", ""Ctnna3"", ""Myh8"", ""Myh7"", ""Gata4"", ""Ank2"", ""Acta2"", ""Scn1a"", ""Rnf207"", ""Kcnh2"", ""Cacnb2"", ""Kcne2"", ""Limch1"", ""Mybpc3"", ""Kcnj8"", ""Atp1a2"", ""Kcne1"", ""Kcnj5"", ""Sgcd"", ""Cacna2d1"", ""Pde4b"")","Ryr2,Myh3,Gja1,Scn5a,Myh4,Cacna1c,Myh2,Ctnna3,Myh8,Myh7,Gata4,Ank2,Acta2,Scn1a,Rnf207,Kcnh2,Cacnb2,Kcne2,Limch1,Mybpc3,Kcnj8,Atp1a2,Kcne1,Kcnj5,Sgcd,Cacna2d1,Pde4b"
"20","GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING","0.00605206047238365","0.0743064187222472","0.407017918923954","-0.680085602784262","-1.60088985066358","15","c(""Myh3"", ""Myh4"", ""Myh2"", ""Myh8"", ""Myh7"", ""Mybpc3"")","Myh3,Myh4,Myh2,Myh8,Myh7,Mybpc3"
