"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"Fut2","Fut2",234.7756357,613.8504641,279.8443912,452.7415548,130.4828508,261.8401662,215.3984889,190.5239353,360.3306892,396.7073579,410.6578568,190.8481054,397.7062638,194.1490267,406.8963961
"Tmem54","Tmem54",939.4009793,1135.2106491,1186.7527589,825.069351499999,791.7984361,805.4694714,913.8767886,526.7297774,733.9646391,866.5800432,734.107975,528.9677531,928.8659711,814.8653986,1275.4161801
"Atp10b","Atp10b",535.9397656,755.3633338,645.4394969,655.3573483,269.473583,300.0702244,385.3965163,269.1073082,662.6640009,733.5937448,732.2915424,436.9465008,727.7116761,419.5689573,1122.2325265
"Kcnq1","Kcnq1",331.911582,359.8839954,406.7503014,498.6248812,332.76043055,351.7509097,352.2359141,216.4368555,237.7115886,258.9467422,197.9741863,121.5757979,337.676466,256.8385365,354.7748038
"Ttc39a","Ttc39a",117.7224945,249.4099189,117.19323066,228.8146353,49.58421597,106.9458175,94.0432665,90.6293349,107.8861336,261.5027754,115.1934906,42.9514861,189.8698485,103.2427,153.7722128
"Vsig2","Vsig2",632.3309192,720.9076587,950.7625885,553.9338629,661.90752014,608.4268978,666.8389051,356.9970932,180.0247121,195.6653936,203.5591398,134.6667904,469.5509576,187.282512,279.4791491
"Sult1a1","Sult1a1",657.4282403,587.0103385,918.1784014,541.6294803,616.584733,517.8754841,640.908633,318.6826934,348.429824,388.6354498,338.1596662,185.8233183,611.6485071,420.2794812,402.0462743
"Slc44a3","Slc44a3",285.7463623,306.8551264,248.617374,429.1135856,132.5324281,263.1478691,211.0105075,153.9817991,181.9143395,302.4083527,170.9097287,117.0255497,395.7251671,150.8368066,270.8272424
"Igsf5","Igsf5",596.5965444,764.5687211,729.34330356,634.9937361,441.0216159,471.2889161,571.3840375,278.271331,551.3623271,715.9401063,536.348719,376.764841,683.6782888,387.5027264,845.6850239
"X5330417C22Rik","X5330417C22Rik",311.5299852,299.35215376,222.8919896,486.3350121,164.15631673,225.0178468,217.3208571,140.5003537,225.3864591,367.7721666,144.5734353,107.7502045,365.8347238,199.7573915,326.8303731
