"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"Pts","Pts",51.1085374,161.8557684,91.119696,130.9263206,40.8500646,49.4132831,108.6365488,24.5076199,85.1429954,81.7634888,133.9306324,126.2523468,59.1471944,71.5825731,212.4506359
"Casz1","Casz1",155.0121873,265.2942242,226.7944086,285.4279962,99.165753,127.9250277,89.8030307,68.2112807,124.4918026,166.6991972,326.7355895,243.4343118,75.9750917,100.4468335,327.412578
"Ccdc58","Ccdc58",152.6498184,298.7147336,251.3548207,214.8727975,51.264317,56.5079283,100.1672881,61.5936641,114.7904338,145.9332864,288.6400123,167.3273862,91.860882,82.8171805,370.4238248
"Dsg2","Dsg2",269.3911583,540.5254588,340.6302134,492.9205738,133.2372445,117.6847207,229.786661,71.0558853,331.4373836,433.6051912,736.4024518,598.9104261,178.6530706,267.9532149,928.5095065
"Gm16517","Gm16517",187.0985955,411.0702893,331.4059533,280.5580351,112.3867868,105.9440573,66.0202854,168.3034985,111.8758242,163.0636116,335.6372005,244.4649237,87.6676718,160.8766717,369.8132216
"Tmem63b","Tmem63b",146.6266059,331.331677,204.3957568,286.0180861,81.588612,53.9226571,89.0602938,36.9947427,126.1106095,150.8503942,215.6732678,192.5297903,71.4683766,133.343751,301.4846037
"Mrps7","Mrps7",216.5608331,430.1648438,365.0830105,309.7769841,125.1214813,119.7909954,136.9502727,115.1788441,164.2930077,234.3860742,394.824968,384.0776993,177.6092257,123.7315866,439.3083978
"Golga4","Golga4",297.8284036,500.8020172,349.6396205,505.7605956,174.142731,128.7422059,193.2952726,80.1038639,310.9005618,414.3398095,724.2786124,490.7874983,258.2089931,187.253806,848.2927922
"Cttn","Cttn",102.8568197,245.1306659,156.007534,200.3244744,48.3721739,125.4450707,58.7978951,72.090199,98.9951357,184.0877382,291.2844092,173.596979,86.5786673,102.4097535,308.4677826
"Sema3b","Sema3b",59.4488847,194.1283679,135.6779999,142.7611097,42.793515,81.48347,44.0332867,13.895453,81.2788511,45.3341314,155.8459112,165.3041249,55.8361427,59.9341579,177.4127956
"Sertad1","Sertad1",128.8323821,450.8044403,317.78304503,356.0258515,123.4770589,108.0631957,111.6515337,86.0593612,218.633206,211.0395362,358.852341,278.7236627,149.1772302,172.2368481,481.2124744
"Nagk","Nagk",75.3560057,221.40869454,193.5325805,173.7072569,94.5046254,82.7850397,123.416955,28.1444318,96.4456248,130.7493212,211.075672,207.947484,75.7774877,80.7953862,279.1676629
"Aimp2","Aimp2",215.1245587,352.3065287,238.7319032,305.1159081,82.234976,98.6993192,151.3157722,160.6495915,80.8462583,113.2329523,259.6177744,230.2849954,93.4392973,94.7835371,306.4867487
"Sema4a","Sema4a",10.1313606,84.9706871,77.2907461,47.2997038,10.7053785,24.74271,40.3442779,19.0839217,39.240926,43.1667312,94.2974693,78.071483,42.0226185,49.5944538,132.0589217
"Mrps25","Mrps25",174.7487934,377.5682236,302.2588468,241.9177409,75.3693999,98.7520327,120.8349941,153.474925,135.6428987,138.445406,346.2172307,342.7881219,122.3766493,110.1159827,411.5634513
"Alas1","Alas1",130.2947581,346.8093214,174.1905391,231.2661359,54.4288041,50.6435586,69.0367656,66.7787655,118.4794973,135.9613096,346.4147919,211.8363212,106.7113687,73.9350083,275.5694857
"Cox19","Cox19",85.8410493,216.8715826,166.6050192,165.8650527,96.2597101,40.6026957,58.7141197,33.0816337,66.8749303,84.2808431,183.7566524,168.3198932,74.8727987,90.0901573,198.5696882
"Gpr108","Gpr108",95.1725062,220.7267673,156.0401154,151.1030366,66.3036345,60.8288152,80.5222667,120.8692273,74.3284574,108.7231813,156.8517418,137.7700226,85.249251,69.3074381,252.7470547
"Arhgef38","Arhgef38",185.8808496,214.0964074,285.5157682,251.0812591,36.6053365,25.7832518,46.490304,24.1453904,82.0172478,160.0929147,325.278622,175.3156463,106.6206486,94.3391244,491.6258891
"Serinc2","Serinc2",216.6467752,320.6639444,315.5206459,321.8007758,60.9088823,133.5841797,149.4095338,58.8884494,127.8476542,158.5651917,357.8508696,344.9070953,121.8954047,120.4277051,339.1772861
"St3gal3","St3gal3",68.3227381,280.5480831,178.9573556,182.976007,35.9095542,58.6100675,53.7672876,46.6215064,47.5301132,109.4486073,222.233686,87.3084881,89.9248074,105.2019607,286.5279976
"Mrpl49","Mrpl49",113.7875222,292.9691094,203.9426925,197.2329608,115.4021717,60.3629581,64.4836976,149.2681589,121.0282428,96.069222,212.1133274,193.6360252,92.0328461,68.3099996,250.2168531
"Bace2","Bace2",14.4563548,63.8524398,25.5938033,62.861833,10.8727914,8.9904318,24.8620541,0,11.326508,40.0872551,87.2321794,41.6684378,24.6027316,4.2363455,107.9179644
