"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","topGenes"
"13","GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION","1","1","0.0014426950408889","-0.202641156362052","-0.545513677758098","141","c(""Espnl"", ""Shroom1"", ""Dlc1"", ""Cald1"", ""Frmd7"", ""Tgfb3"", ""Tmeff2"", ""Shank3"", ""Fmn2"", ""Arhgef15"", ""Shank1"", ""Ppm1e"", ""Arhgap28"", ""Add2"", ""Fscn3"", ""Flna"", ""Asap3"", ""Pdxp"", ""Alms1"", ""Ptger4"", ""Ttc8"", ""Fermt2"", ""Wnt4"", ""Clasp2"", ""Limch1"", ""Nrp1"", ""Fam171a1"", ""Met"", ""Ppm1f"", ""Serpinf2"", ""Nedd9"", ""Sorbs1"", ""Ppfia1"", ""Spire1"", ""Itgb5"", ""Pls3"", ""Rdx"", ""Lcp1"", ""Evl"", ""Arhgef5"", ""Dpysl3"", ""Shroom2"", ""Actn1"", ""Synpo2"", ""Rock2"", ""Epha1"", ""Srf"", ""Rhpn2"", ""Rapgef3"")","Espnl,Shroom1,Dlc1,Cald1,Frmd7,Tgfb3,Tmeff2,Shank3,Fmn2,Arhgef15,Shank1,Ppm1e,Arhgap28,Add2,Fscn3,Flna,Asap3,Pdxp,Alms1,Ptger4,Ttc8,Fermt2,Wnt4,Clasp2,Limch1,Nrp1,Fam171a1,Met,Ppm1f,Serpinf2,Nedd9,Sorbs1,Ppfia1,Spire1,Itgb5,Pls3,Rdx,Lcp1,Evl,Arhgef5,Dpysl3,Shroom2,Actn1,Synpo2,Rock2,Epha1,Srf,Rhpn2,Rapgef3"
"14","GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION","0.918724279835391","1","0.0158662282151999","-0.28275948902652","-0.702047417114568","43","c(""Tmod4"", ""Vill"", ""Svil"", ""Add2"", ""Actn2"", ""Lmod3"", ""Pdxp"", ""Sema5a"")","Tmod4,Vill,Svil,Add2,Actn2,Lmod3,Pdxp,Sema5a"
"15","GOBP_ACTIN_FILAMENT_ORGANIZATION","1","1","0","-0.203594351282325","-0.561646301728845","365","c(""Ctnna3"", ""Myo15"", ""Rnd1"", ""Espnl"", ""Nlrp5"", ""Shroom1"", ""Ttn"", ""Dlc1"", ""Dbn1"", ""Cald1"", ""Kank4"", ""Frmd7"", ""Tmsb15b2"", ""Neb"", ""Alox15"", ""Tgfb3"", ""Tmod4"", ""Tmeff2"", ""Xirp2"", ""Shank3"", ""Nphs1"", ""Ghsr"", ""Ccl26"", ""Xirp1"", ""Nck2"", ""Fmn2"", ""Arhgef15"", ""Efs"", ""Vill"", ""Sh3kbp1"", ""Svil"", ""Shank1"", ""Ppm1e"", ""Myo5a"", ""Arhgap28"", ""Add2"", ""Pak3"", ""Fscn3"", ""Flna"", ""Asap3"", ""Cyfip2"", ""Cxcl12"", ""Actn2"", ""Kirrel"", ""Fhod3"", ""Gdpd2"", ""Lmod3"", ""Pdxp"", ""Alms1"", ""Ermn"", ""Ptger4"", ""Sema5a"", ""Ttc8"", ""Csf3"", ""Fermt2"", ""Pfn4"", 
""Wnt4"", ""Coro6"", ""Clasp2"", ""Arhgap40"", ""Rnd3"", ""Limch1"", ""Slit2"", ""Nrp1"", ""Prkci"", ""Rhobtb1"", ""Fam171a1"", ""Rufy3"", ""Met"", ""Dlg1"", ""Ppm1f"", ""Serpinf2"", ""Cit"", ""Nedd9"", ""Sorbs1"", ""Ppfia1"", ""Trf"", ""Pof1b"", ""Spire1"", ""Itgb5"", ""Pls3"", ""Rdx"", ""Tpm2"", ""Pstpip2"", ""Rasa1"", ""Ppp1r9a"", ""Lcp1"", ""Evl"", ""Arhgef5"", ""Gmfb"", ""Myo1h"", ""Dpysl3"", ""Shroom2"", ""Myo1e"", ""Cdc42ep4"", ""Actn1"", ""Ssh2"", ""Synpo2"", ""Rock2"", ""Prex1"", ""Plekhh2"", ""Jak2"", ""Arhgap18"", ""Epha1"", ""Fchsd2"", ""Srf"", ""Rhpn2"", ""Rapgef3"", ""Fat1"", ""Elmo1"", ""Swap70"", 
""Arhgap12"")","Ctnna3,Myo15,Rnd1,Espnl,Nlrp5,Shroom1,Ttn,Dlc1,Dbn1,Cald1,Kank4,Frmd7,Tmsb15b2,Neb,Alox15,Tgfb3,Tmod4,Tmeff2,Xirp2,Shank3,Nphs1,Ghsr,Ccl26,Xirp1,Nck2,Fmn2,Arhgef15,Efs,Vill,Sh3kbp1,Svil,Shank1,Ppm1e,Myo5a,Arhgap28,Add2,Pak3,Fscn3,Flna,Asap3,Cyfip2,Cxcl12,Actn2,Kirrel,Fhod3,Gdpd2,Lmod3,Pdxp,Alms1,Ermn,Ptger4,Sema5a,Ttc8,Csf3,Fermt2,Pfn4,Wnt4,Coro6,Clasp2,Arhgap40,Rnd3,Limch1,Slit2,Nrp1,Prkci,Rhobtb1,Fam171a1,Rufy3,Met,Dlg1,Ppm1f,Serpinf2,Cit,Nedd9,Sorbs1,Ppfia1,Trf,Pof1b,Spire1,Itgb5,Pls3,Rdx,Tpm2,Pstpip2,Rasa1,Ppp1r9a,Lcp1,Evl,Arhgef5,Gmfb,Myo1h,Dpysl3,Shroom2,Myo1e,Cdc42ep4,Actn1,Ssh2,Synpo2,Rock2,Prex1,Plekhh2,Jak2,Arhgap18,Epha1,Fchsd2,Srf,Rhpn2,Rapgef3,Fat1,Elmo1,Swap70,Arhgap12"
"16","GOBP_ACTIN_FILAMENT_POLYMERIZATION","1","1","0.0014426950408889","-0.187596673109301","-0.502714709789221","128","c(""Dbn1"", ""Kank4"", ""Tmsb15b2"", ""Alox15"", ""Tmod4"", ""Nphs1"", ""Ccl26"", ""Nck2"", ""Vill"", ""Svil"", ""Arhgap28"", ""Add2"", ""Pak3"", ""Cyfip2"", ""Kirrel"", ""Fhod3"", ""Lmod3"")","Dbn1,Kank4,Tmsb15b2,Alox15,Tmod4,Nphs1,Ccl26,Nck2,Vill,Svil,Arhgap28,Add2,Pak3,Cyfip2,Kirrel,Fhod3,Lmod3"
"17","GOBP_ACTIN_FILAMENT_SEVERING","0.969387755102041","1","0.0188532541830902","-0.258606790840441","-0.563533640886357","15","c(""Vill"", ""Svil"")","Vill,Svil"
"18","GOBP_ACTIN_MEDIATED_CELL_CONTRACTION","0.0104394961507897","0.473664881244881","0.380730400722792","-0.51759421344857","-1.35686141473164","82","c(""Ctnna3"", ""Mybpc3"", ""Scn1a"", ""Acta2"", ""Kcnd3"", ""Myh2"", ""Cacna1g"", ""Atp2a1"", ""Mylk2"", ""Gja1"", ""Scn3b"", ""Ryr2"", ""Kcnj3"", ""Hcn4"", ""Kcnj2"", ""Myh3"", ""Myh8"", ""Cacna2d1"", ""Cacna1d"", ""Myl6b"", ""Scn2b"", ""Flna"", ""Kcna5"", ""Ank2"", ""Stc1"", ""Kcnj5"", ""Scn5a"", ""Kcne1"")","Ctnna3,Mybpc3,Scn1a,Acta2,Kcnd3,Myh2,Cacna1g,Atp2a1,Mylk2,Gja1,Scn3b,Ryr2,Kcnj3,Hcn4,Kcnj2,Myh3,Myh8,Cacna2d1,Cacna1d,Myl6b,Scn2b,Flna,Kcna5,Ank2,Stc1,Kcnj5,Scn5a,Kcne1"
"19","GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING","0.0430839002267574","0.871197067911568","0.231126709673834","-0.645971335827991","-1.40764508775786","15","c(""Mybpc3"", ""Myh2"", ""Mylk2"", ""Myh3"", ""Myh8"", ""Myl6b"")","Mybpc3,Myh2,Mylk2,Myh3,Myh8,Myl6b"
"20","GOBP_ACTIN_NUCLEATION","0.588499414473468","1","0.143902565267782","0.240544793078191","0.936311502535144","40","c(""Coro1a"", ""Arpc3"", ""Arpc1b"", ""Wasf2"", ""Arfip2"", ""Arpc5l"", ""Arpc4"", ""Gmfg"", ""Gsn"", ""Whamm"", ""Arf1"", ""Arpc2"", ""Wasl"", ""Arpc1a"", ""Hip1r"", ""Coro1b"", ""Arpc5"", ""Spire2"")","Coro1a,Arpc3,Arpc1b,Wasf2,Arfip2,Arpc5l,Arpc4,Gmfg,Gsn,Whamm,Arf1,Arpc2,Wasl,Arpc1a,Hip1r,Coro1b,Arpc5,Spire2"
"21","GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION","1","1","0","-0.18617915817044","-0.503361833462139","153","c(""Dbn1"", ""Kank4"", ""Tmsb15b2"", ""Alox15"", ""Tmod4"", ""Nphs1"", ""Ghsr"", ""Ccl26"", ""Nck2"", ""Vill"", ""Svil"", ""Arhgap28"", ""Add2"", ""Pak3"", ""Cyfip2"", ""Cxcl12"", ""Actn2"", ""Kirrel"", ""Fhod3"", ""Lmod3"", ""Pdxp"", ""Sema5a"", ""Csf3"", ""Pfn4"")","Dbn1,Kank4,Tmsb15b2,Alox15,Tmod4,Nphs1,Ghsr,Ccl26,Nck2,Vill,Svil,Arhgap28,Add2,Pak3,Cyfip2,Cxcl12,Actn2,Kirrel,Fhod3,Lmod3,Pdxp,Sema5a,Csf3,Pfn4"
"22","GOBP_ACTION_POTENTIAL","0.00287022795825254","0.266649805219619","0.431707695803346","-0.508147995161714","-1.3553618647921","117","c(""Ctnna3"", ""Scn1a"", ""Kcnh7"", ""Kcnd3"", ""Cntnap1"", ""Clcn1"", ""Cacna1g"", ""Slc8a1"", ""P2rx3"", ""Akap6"", ""Slc4a3"", ""Gja1"", ""Grik2"", ""Scn3b"", ""Ryr2"", ""Chrna4"", ""Kcnj3"", ""Kcnab2"", ""Scn4a"", ""Hcn4"", ""Slc8a2"", ""Scn10a"", ""Kcnj2"", ""Scn3a"", ""Cacna2d1"", ""Cacna1d"", ""Scn8a"", ""Glra1"", ""Scn2b"", ""Chrna1"", ""Flna"", ""Kcna5"", ""Ank2"", ""Kcnmb4"", ""Tbx18"", ""Scn9a"", ""Kcnc2"", ""Kcnj5"", ""Scn5a"", ""Kcne1"", ""Tnf"")","Ctnna3,Scn1a,Kcnh7,Kcnd3,Cntnap1,Clcn1,Cacna1g,Slc8a1,P2rx3,Akap6,Slc4a3,Gja1,Grik2,Scn3b,Ryr2,Chrna4,Kcnj3,Kcnab2,Scn4a,Hcn4,Slc8a2,Scn10a,Kcnj2,Scn3a,Cacna2d1,Cacna1d,Scn8a,Glra1,Scn2b,Chrna1,Flna,Kcna5,Ank2,Kcnmb4,Tbx18,Scn9a,Kcnc2,Kcnj5,Scn5a,Kcne1,Tnf"
"23","GOBP_ACTIVATED_T_CELL_PROLIFERATION","0.541882109617373","1","0.0435378240914002","-0.401707724288556","-0.989683610083593","40","c(""Il2"", ""Pdcd1lg2"", ""Btn2a2"", ""Ido1"", ""Tnfsf9"", ""Il12rb1"", ""Il23a"", ""Foxp3"", ""Crtam"", ""Igf2"", ""Il27ra"", ""Igf1"")","Il2,Pdcd1lg2,Btn2a2,Ido1,Tnfsf9,Il12rb1,Il23a,Foxp3,Crtam,Igf2,Il27ra,Igf1"
"24","GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY","0.60239651416122","1","0.0410713282497468","-0.411925502932809","-0.939315125873852","20","c(""Calcr"", ""Crhr1"", ""Adora2b"", ""Glp1r"", ""Adora3"", ""Drd5"", ""Adrb2"", ""Lgr5"", ""Vipr2"")","Calcr,Crhr1,Adora2b,Glp1r,Adora3,Drd5,Adrb2,Lgr5,Vipr2"
"25","GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY","0.704081632653061","1","0.16823816568964","0.273039455540161","0.843177786432856","18","c(""Cideb"", ""Lgmn"", ""Bak1"", ""Bad"", ""Pycard"")","Cideb,Lgmn,Bak1,Bad,Pycard"
