"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"43","Akr1c19",419.314389632,453.869003791,444.696632401,339.324459618,239.838701954,319.297749315,362.7359543364,232.45241196,387.682147479,364.472080491,299.778692313,186.168972186,471.889764318,250.881862998,586.926277236
"44","Cldn2",375.019763488,391.374720752,239.256050548,380.960235805,135.6895794517,303.120709687,361.627776588,290.996546945,306.659179957,257.981417585,289.198198121,137.659161675,480.338395248,324.525868641,601.0276985
"45","Slc39a5",371.599924494,462.96823125,334.934846449,379.793201271,145.2648754306,339.706234767,311.245956969,265.146274005,322.828958084,347.41345029,268.46035604,168.705806426,406.457134869,331.428963948,573.195935403
"46","Myo1a",350.413842183,433.185830012,395.985953399,459.676099263,199.2023210267,384.701041844,390.2601218885,293.200597392,496.926025785,480.9852901,420.540799663,246.6801247,572.75983035,433.454599926,678.623816731
"47","Sectm1b",224.543719652,335.426425377,346.406730471,243.270540506,179.5714931978,230.299795308,274.970115068,156.432445415,304.592219604,348.590153958,275.103585596,179.267617625,350.663907973,247.242916229,484.699402437
"48","Gsdmc4",246.742630484,287.747416676,264.486976043,270.298670986,138.7449775286,323.094179568,235.1404575016,231.869871478,314.71892613,338.254945993,248.435746993,131.091295281,357.836999169,281.172211752,394.631958678
"49","Cdhr2",286.50827333,432.236334095,387.904679938,421.414022678,197.5750976599,304.864769203,277.3770777668,224.822848676,487.061274594,467.417866048,447.740328808,290.062620018,452.315735975,370.982662998,685.413708334
"50","Gpr128",431.959769763,387.824109476,257.816848695,410.478988141,131.8715383304,236.896900504,346.904648915,175.839967839,411.922978887,487.65971794,448.694990149,173.62271373,646.131907327,341.960699994,676.25183543
"51","Creb3l4",208.313317653,131.116210903,193.33233997,127.155341288,137.2359413089,213.66156714,370.522665895,115.627905154,75.855644846,68.778475228,92.015130056,35.156553014,394.330036707,389.949327046,233.118548015
"52","Trim31",290.143485194,301.623497654,204.951454694,297.286084563,106.7560649307,267.559136727,264.094094295,152.857108189,302.698709692,296.127350945,272.919596944,150.95149527,426.2208292,232.324540099,462.488404017
"53","Gucy2c",301.069935283,382.973324251,377.055036955,397.628561011,182.287081404,294.151507456,343.684310607,264.307327589,458.898968492,399.477820463,426.293308914,242.937416234,514.794170039,349.970743092,723.340999149
"54","Sult1c2",298.092182387,399.713695915,297.001925971,308.074309399,246.182245175,384.695335964,493.677885554,259.572475414,249.768398618,247.64669441,159.36271026,108.679624205,360.060407024,295.664046049,425.350137647
"55","Cftr",318.275099464,369.254332899,288.027111487,324.430321812,124.6092187442,230.655069149,260.05544471,251.898608907,394.517886825,351.146459825,340.612484536,193.096121845,401.564411997,244.749838328,639.421649031
"56","Foxa3",314.895219348,277.267222594,210.988572111,258.816762496,105.78966587,423.78633321,388.124468798,218.993665142,174.863175706,148.182250895,171.687419168,87.09374803,372.682739831,488.08833137,330.467560017
"57","Cldn23",365.372338693,433.502576111,371.205185563,377.091604439,150.287078113,303.725057928,320.59858578,195.351236826,487.812554155,447.354113892,417.989946669,213.934863292,512.315196195,484.760368573,712.09856394
"58","Ppp1r14d",451.725015936,611.559490571,622.889463235,447.629853634,268.923437954,371.816155814,452.8766968505,240.583713454,424.737553068,477.876066139,420.727543164,257.77437053,495.703348909,404.373641479,721.870953398
"59","Ces2a",285.754893773,357.33560299,271.640565799,273.54103378,177.043445076,242.890290734,237.0412124337,193.153236027,282.507800792,318.336470932,301.076942911,184.30637787,325.45893916,228.192078314,526.818098197
"60","Dmbt1",447.0743612737,675.329996283,576.3292871409,496.6238234225,316.7595836753,428.359924844,447.32602062,330.863446156,579.184444263,592.976770106,551.4452905735,405.432255207,521.44534015,483.465472299,865.5970975065
"61","Muc4",358.900313541,324.0559635,346.8530920763,315.371418321,137.7872614011,401.632040197,450.78284415,247.1932743265,378.862829092,350.78033265,423.073905906,217.469123706,464.568551487,356.849741672,601.51682087
"62","Slc12a8",158.378276214,122.705960733,159.609586976,133.121611424,113.4813989294,200.251372726,297.0032784645,103.059090782,79.214613114,53.852541257,90.13116493,48.337518237,299.46945735,330.535419378,155.082417877
"63","Noxo1",527.873980233,485.529843296,468.81522017,370.899350489,271.43795382635,425.792994058,558.904523118,331.772251231,360.25722299,340.536572692,332.031733376,157.20235175,558.960633261,482.267840726,691.355501653
"64","Btnl1",223.59673062,344.536851082,243.433370136,302.527829779,182.4312811346,213.067209985,280.427706795,152.932345862,272.787614501,309.24766888,246.503984479,173.836330865,328.321209705,233.109694949,409.330028239
"65","Tmc5",217.064760408,313.981022832,234.425125164,334.649320831,134.2604150421,195.70058595,232.7272551945,140.594920817,281.366546748,272.451772644,261.0373223,179.22629748,391.038405585,257.272186956,509.919851395
"66","Cdh17",415.901763085,469.670871217,382.319693691,436.306464683,201.9285626693,390.375775643,394.421515699,287.32388928,530.568157445,503.201484954,478.970512423,295.014125738,609.964907496,403.818726048,793.913753991
"67","Ifi27l2b",566.909931219,635.131102918,556.336723203,465.577504907,228.6102499772,461.247799641,582.0256160598,296.489840566,428.15693262,404.800595875,407.954846838,179.457964681,579.355185516,503.64664525,731.448828578
"68","Ces2e",291.297356453,413.830211843,283.102011705,298.011806936,173.143246136,290.410356396,265.4454488795,186.6662689,310.003912435,355.155519101,296.690474616,187.300921518,327.891483932,234.093846022,420.6521664255
"69","Bcl2l14",335.273717882,370.262312983,304.477733064,275.245547307,130.5452014844,375.563946366,419.264789005,248.881122906,314.293981724,303.228573474,267.902913919,121.658119146,506.237511655,365.386917194,537.962155728
"70","X2510049J12Rik",335.74958131,359.52443744,490.805770615,297.043191033,200.266168527,281.038279347,427.542656527,173.612725934,249.507815285,263.51219565,249.827856246,133.60909882,456.844353971,305.621159148,446.310327251
